date,online_food_turnover,online_non-food_turnover,online_total_turnover,total_revenue_turnover
Jul-2013,139.5,331.4,470.9,22042.6
Aug-2013,146.7,329.6,476.3,22204.7
Sep-2013,139.7,322.7,462.4,22356.5
Oct-2013,127.9,351.6,479.5,22431.6
Nov-2013,138.5,388.1,526.6,22630.9
Dec-2013,131.1,381.7,512.7,22879.4
Jan-2014,148.1,399.4,547.5,23093.1
Feb-2014,154.9,426.4,581.3,23087.4
Mar-2014,156.2,401.3,557.5,23097.3
Apr-2014,161.3,412.0,573.3,23158.5
May-2014,168.2,423.0,591.2,23112.0
Jun-2014,165.2,432.1,597.4,23225.9
Jul-2014,167.9,450.9,618.7,23402.5
Aug-2014,165.9,464.5,630.3,23436.0
Sep-2014,169.4,481.4,650.8,23697.9
Oct-2014,175.2,502.3,677.5,23766.6
Nov-2014,181.5,492.8,674.3,23781.3
Dec-2014,174.4,515.1,689.5,23838.6
Jan-2015,173.2,536.6,709.8,23977.7
Feb-2015,174.9,544.8,719.6,24137.8
Mar-2015,183.3,567.4,750.7,24132.5
Apr-2015,185.1,567.5,752.6,24179.7
May-2015,187.5,577.5,765.1,24241.0
Jun-2015,196.6,591.5,788.1,24394.6
Jul-2015,203.7,568.7,772.5,24462.0
Aug-2015,209.2,582.7,791.9,24564.7
Sep-2015,215.9,581.3,797.3,24643.4
Oct-2015,211.1,552.6,763.7,24757.5
Nov-2015,211.0,566.7,777.7,24837.0
Dec-2015,222.6,583.5,806.1,24891.6
Jan-2016,209.4,636.5,845.9,24990.9
Feb-2016,211.7,610.4,822.1,24980.9
Mar-2016,211.2,624.8,835.9,25102.9
Apr-2016,218.6,636.7,855.2,25089.8
May-2016,208.3,650.1,858.5,25058.7
Jun-2016,212.2,672.8,885.0,25149.3
Jul-2016,210.7,664.8,875.5,25148.6
Aug-2016,221.7,670.4,892.2,25337.3
Sep-2016,221.3,704.7,925.9,25574.1
Oct-2016,233.8,725.2,959.1,25575.6
Nov-2016,240.6,717.0,957.6,25643.3
Dec-2016,246.5,781.1,1027.6,25666.0
Jan-2017,263.6,714.0,977.6,25752.9
Feb-2017,261.6,705.0,966.5,25656.3
Mar-2017,252.3,713.1,965.4,25638.6
Apr-2017,272.9,677.3,950.3,25891.9
May-2017,280.9,727.1,1008.0,25991.6
Jun-2017,288.4,740.8,1029.2,26043.0
Jul-2017,284.7,808.8,1093.4,26049.0
Aug-2017,281.9,867.8,1149.6,25902.7
Sep-2017,285.5,855.5,1141.0,25944.9
Oct-2017,293.8,904.8,1198.7,26024.0
Nov-2017,307.9,959.1,1267.0,26305.2
Dec-2017,326.0,998.9,1324.9,26328.4
Jan-2018,337.8,997.5,1335.3,26317.7
Feb-2018,351.3,1064.6,1415.8,26418.5
Mar-2018,355.6,1077.6,1433.3,26414.4
Apr-2018,359.5,1103.1,1462.7,26572.8
May-2018,364.8,1118.1,1482.8,26691.0
Jun-2018,364.7,1139.7,1504.4,26734.4
Jul-2018,377.8,1117.9,1495.7,26782.5
Aug-2018,382.9,1112.6,1495.4,26879.0
Sep-2018,384.8,1141.3,1526.1,26918.3
Oct-2018,385.7,1185.8,1571.5,27022.9
Nov-2018,413.6,1212.6,1626.1,27013.0
Dec-2018,430.4,1184.9,1615.4,27050.1
Jan-2019,435.6,1221.8,1657.4,27092.5
Feb-2019,431.3,1207.5,1638.8,27253.8
Mar-2019,444.6,1215.2,1659.8,27300.5
Apr-2019,437.2,1219.4,1656.6,27309.5
May-2019,447.5,1223.7,1671.2,27360.0
Jun-2019,442.8,1229.8,1672.6,27408.9
Jul-2019,450.2,1270.9,1721.1,27430.5
Aug-2019,461.0,1287.9,1749.0,27543.5
Sep-2019,478.9,1297.3,1776.2,27589.2
Oct-2019,518.8,1289.3,1808.1,27635.0
Nov-2019,493.0,1325.5,1818.5,27895.6
Dec-2019,490.4,1428.6,1919.1,27747.2
Jan-2020,513.8,1341.3,1855.0,27608.3
Feb-2020,548.5,1388.1,1936.6,27775.7
Mar-2020,525.1,1673.9,2199.0,30033.3
Apr-2020,603.2,2191.1,2794.3,24816.7
May-2020,713.6,2157.2,2870.7,28940.1
Jun-2020,748.4,2045.1,2793.6,29724.9
Jul-2020,798.7,2171.0,2969.7,30729.1
Aug-2020,855.1,2275.4,3130.5,29480.4
Sep-2020,867.0,2221.2,3088.2,29163.0
Oct-2020,866.5,2215.9,3082.4,29601.6
Nov-2020,813.1,2223.3,3036.4,31571.4
Dec-2020,864.1,2107.2,2971.3,30450.9
Jan-2021,903.9,2117.1,3021.0,30538.5
Feb-2021,892.8,2060.6,2953.4,30300.6
