date,year,month,online_food_turnover,online_nonfood_turnover,online_total_turnover,total_revenue_turnover
Jan-2020,2020,Jan,513.8,1341.3,1855.0,27608.3
Feb-2020,2020,Feb,548.5,1388.1,1936.6,27775.7
Mar-2020,2020,Mar,525.1,1673.9,2199.0,30033.3
Apr-2020,2020,Apr,603.2,2191.1,2794.3,24816.7
May-2020,2020,May,713.6,2157.2,2870.7,28940.1
Jun-2020,2020,Jun,748.4,2045.1,2793.6,29724.9
Jul-2020,2020,Jul,798.7,2171.0,2969.7,30729.1
Aug-2020,2020,Aug,855.1,2275.4,3130.5,29480.4
Sep-2020,2020,Sep,867.0,2221.2,3088.2,29163.0
Oct-2020,2020,Oct,866.5,2215.9,3082.4,29601.6
Nov-2020,2020,Nov,813.1,2223.3,3036.4,31571.4
Dec-2020,2020,Dec,864.1,2107.2,2971.3,30450.9
Jan-2021,2021,Jan,903.9,2117.1,3021.0,30538.5
Feb-2021,2021,Feb,892.8,2060.6,2953.4,30300.6
